9
0,1,10.0
0,2,20.0
0,3,10.0
0,4,14.14
0,5,22.36
0,6,20.0
0,7,22.36
0,8,28.28
1,0,10.0
1,2,10.0
1,3,14.14
1,4,10.0
1,5,14.14
1,6,22.36
1,7,20.0
1,8,22.36
2,0,20.0
2,1,10.0
2,3,22.36
2,4,14.14
2,5,10.0
2,6,28.28
2,7,22.36
2,8,20.0
3,0,10.0
3,1,14.14
3,2,22.36
3,4,10.0
3,5,20.0
3,6,10.0
3,7,14.14
3,8,22.36
4,0,14.14
4,1,10.0
4,2,14.14
4,3,10.0
4,5,10.0
4,6,14.14
4,7,10.0
4,8,14.14
5,0,22.36
5,1,14.14
5,2,10.0
5,3,20.0
5,4,10.0
5,6,22.36
5,7,14.14
5,8,10.0
6,0,20.0
6,1,22.36
6,2,28.28
6,3,10.0
6,4,14.14
6,5,22.36
6,7,10.0
6,8,20.0
7,0,22.36
7,1,20.0
7,2,22.36
7,3,14.14
7,4,10.0
7,5,14.14
7,6,10.0
7,8,10.0
8,0,28.28
8,1,22.36
8,2,20.0
8,3,22.36
8,4,14.14
8,5,10.0
8,6,20.0
8,7,10.0
