25
0,1,12.92
0,2,14.11
0,3,15.66
0,4,13.97
0,5,8.78
0,6,44.43
0,7,28.8
0,8,33.89
0,9,38.09
0,10,46.21
0,11,34.88
0,12,33.77
0,13,36.98
0,14,33.4
0,15,46.57
0,16,30.46
0,17,33.61
0,18,47.77
0,19,34.09
0,20,40.12
0,21,44.94
0,22,39.89
0,23,40.47
0,24,40.76
1,0,12.92
1,2,12.15
1,3,5.09
1,4,10.7
1,5,6.67
1,6,32.42
1,7,18.95
1,8,25.15
1,9,26.49
1,10,34.27
1,11,22.75
1,12,21.28
1,13,25.62
1,14,22.26
1,15,34.37
1,16,19.97
1,17,22.99
1,18,37.12
1,19,22.22
1,20,29.48
1,21,32.28
1,22,30.45
1,23,28.45
1,24,28.44
2,0,14.11
2,1,12.15
2,3,9.28
2,4,1.61
2,5,7.16
2,6,33.82
2,7,16.6
2,8,20.53
2,9,27.11
2,10,35.41
2,11,25.1
2,12,25.03
2,13,25.75
2,14,22.12
2,15,43.72
2,16,31.52
2,17,34.36
2,18,48.15
2,19,32.54
2,20,40.67
2,21,40.51
2,22,42.2
2,23,38.3
2,24,37.75
3,0,15.66
3,1,5.09
3,2,9.28
3,4,7.68
3,5,7.25
3,6,28.77
3,7,14.09
3,8,20.13
3,9,22.49
3,10,30.56
3,11,19.22
3,12,18.25
3,13,21.46
3,14,17.95
3,15,34.67
3,16,22.38
3,17,25.15
3,18,38.87
3,19,23.27
3,20,31.41
3,21,31.8
3,22,33.1
3,23,29.12
3,24,28.68
4,0,13.97
4,1,10.7
4,2,1.61
4,3,7.68
4,5,6.27
4,6,32.81
4,7,15.79
4,8,20.15
4,9,26.12
4,10,34.43
4,11,23.92
4,12,23.73
4,13,24.8
4,14,21.16
4,15,42.14
4,16,29.93
4,17,32.77
4,18,46.54
4,19,30.93
4,20,39.07
4,21,38.98
4,22,40.62
4,23,36.71
4,24,36.17
5,0,8.78
5,1,6.67
5,2,7.16
5,3,7.25
5,4,6.27
5,6,35.82
5,7,20.04
5,8,25.31
5,9,29.39
5,10,37.58
5,11,26.37
5,12,25.5
5,13,28.25
5,14,24.65
5,15,40.82
5,16,26.61
5,17,29.65
5,18,43.8
5,19,28.81
5,20,36.15
5,21,38.42
5,22,37.0
5,23,34.99
5,24,34.86
6,0,44.43
6,1,32.42
6,2,33.82
6,3,28.77
6,4,32.81
6,5,35.82
6,7,17.53
6,8,17.32
6,9,6.74
6,10,1.9
6,11,9.67
6,12,11.58
6,13,8.2
6,14,11.73
6,15,27.32
6,16,32.06
6,17,32.17
6,18,37.79
6,19,26.66
6,20,34.15
6,21,21.65
6,22,38.91
6,23,26.68
6,24,24.37
7,0,28.8
7,1,18.95
7,2,16.6
7,3,14.09
7,4,15.79
7,5,20.04
7,6,17.53
7,8,6.58
7,9,10.81
7,10,18.99
7,11,10.24
7,12,11.65
7,13,9.34
7,14,5.89
7,15,34.48
7,16,29.19
7,17,30.97
7,18,42.14
7,19,26.79
7,20,35.85
7,21,29.82
7,22,39.21
7,23,30.63
7,24,29.14
8,0,33.89
8,1,25.15
8,2,20.53
8,3,20.13
8,4,20.15
8,5,25.31
8,6,17.32
8,7,6.58
8,9,11.55
8,10,18.25
8,11,13.51
8,12,15.85
8,13,10.07
8,14,8.48
8,15,38.95
8,16,35.44
8,17,37.04
8,18,47.44
8,19,32.54
8,20,41.55
8,21,33.87
8,22,45.19
8,23,35.75
8,24,34.03
9,0,38.09
9,1,26.49
9,2,27.11
9,3,22.49
9,4,26.12
9,5,29.39
9,6,6.74
9,7,10.81
9,8,11.55
9,10,8.31
9,11,4.69
9,12,7.53
9,13,1.55
9,14,4.99
9,15,28.71
9,16,29.45
9,17,30.2
9,18,38.24
9,19,24.96
9,20,33.4
9,21,23.29
9,22,37.73
9,23,26.6
9,24,24.54
10,0,46.21
10,1,34.27
10,2,35.41
10,3,30.56
10,4,34.43
10,5,37.58
10,6,1.9
10,7,18.99
10,8,18.25
10,9,8.31
10,11,11.53
10,12,13.47
10,13,9.68
10,14,13.29
10,15,28.41
10,16,33.82
10,17,33.85
10,18,39.03
10,19,28.32
10,20,35.64
10,21,22.74
10,22,40.46
10,23,28.09
10,24,25.75
11,0,34.88
11,1,22.75
11,2,25.1
11,3,19.22
11,4,23.92
11,5,26.37
11,6,9.67
11,7,10.24
11,8,13.51
11,9,4.69
11,10,11.53
11,12,2.9
11,13,4.89
11,14,5.07
11,15,25.48
11,16,24.81
11,17,25.65
11,18,34.41
11,19,20.52
11,20,29.17
11,21,20.36
11,22,33.34
11,23,22.7
11,24,20.8
12,0,33.77
12,1,21.28
12,2,25.03
12,3,18.25
12,4,23.73
12,5,25.5
12,6,11.58
12,7,11.65
12,8,15.85
12,9,7.53
12,10,13.47
12,11,2.9
12,13,7.8
12,14,7.4
12,15,23.14
12,16,21.93
12,17,22.75
12,18,31.73
12,19,17.63
12,20,26.33
12,21,18.25
12,22,30.45
12,23,20.02
12,24,18.21
13,0,36.98
13,1,25.62
13,2,25.75
13,3,21.46
13,4,24.8
13,5,28.25
13,6,8.2
13,7,9.34
13,8,10.07
13,9,1.55
13,10,9.68
13,11,4.89
13,12,7.8
13,14,3.65
13,15,29.76
13,16,29.64
13,17,30.54
13,18,39.07
13,19,25.41
13,20,34.01
13,21,24.41
13,22,38.22
13,23,27.38
13,24,25.39
14,0,33.4
14,1,22.26
14,2,22.12
14,3,17.95
14,4,21.16
14,5,24.65
14,6,11.73
14,7,5.89
14,8,8.48
14,9,4.99
14,10,13.29
14,11,5.07
14,12,7.4
14,13,3.65
14,15,30.47
14,16,28.18
14,17,29.42
14,18,39.1
14,19,24.6
14,20,33.49
14,21,25.41
14,22,37.39
14,23,27.39
14,24,25.6
15,0,46.57
15,1,34.37
15,2,43.72
15,3,34.67
15,4,42.14
15,5,40.82
15,6,27.32
15,7,34.48
15,8,38.95
15,9,28.71
15,10,28.41
15,11,25.48
15,12,23.14
15,13,29.76
15,14,30.47
15,16,17.74
15,17,15.12
15,18,11.06
15,19,12.55
15,20,11.39
15,21,5.67
15,22,16.26
15,23,6.19
15,24,5.99
16,0,30.46
16,1,19.97
16,2,31.52
16,3,22.38
16,4,29.93
16,5,26.61
16,6,32.06
16,7,29.19
16,8,35.44
16,9,29.45
16,10,33.82
16,11,24.81
16,12,21.93
16,13,29.64
16,14,28.18
16,15,17.74
16,17,3.15
16,18,17.36
16,19,6.4
16,20,9.68
16,21,18.6
16,22,10.74
16,23,11.71
16,24,13.15
17,0,33.61
17,1,22.99
17,2,34.36
17,3,25.15
17,4,32.77
17,5,29.65
17,6,32.17
17,7,30.97
17,8,37.04
17,9,30.2
17,10,33.85
17,11,25.65
17,12,22.75
17,13,30.54
17,14,29.42
17,15,15.12
17,16,3.15
17,18,14.23
17,19,5.54
17,20,6.54
17,21,16.68
17,22,8.29
17,23,9.35
17,24,11.15
18,0,47.77
18,1,37.12
18,2,48.15
18,3,38.87
18,4,46.54
18,5,43.8
18,6,37.79
18,7,42.14
18,8,47.44
18,9,38.24
18,10,39.03
